28 Jun 2022,Tue 11:54:57 analyse_result.py[line:52 ] INFO {'model': 'BiLSTM_2', 'accuracy': 0.43142299503193754, 'recall': 0.21661894934614065, 'precision': 0.7263348059939733, 'f1': 0.15010160295057134, 'cm': [[9463, 0, 248, 0, 0], [7314, 0, 144, 0, 0], [2158, 0, 263, 0, 0], [1988, 0, 766, 0, 0], [187, 0, 13, 0, 0]]}
28 Jun 2022,Tue 11:55:07 analyse_result.py[line:52 ] INFO {'model': 'BiLSTM_2', 'accuracy': 0.4292051100070972, 'recall': 0.2156512045704503, 'precision': 0.7221079436281583, 'f1': 0.14895450635893687, 'cm': [[9412, 0, 299, 0, 0], [7150, 0, 308, 0, 0], [2157, 0, 264, 0, 0], [1989, 0, 765, 0, 0], [187, 0, 13, 0, 0]]}
28 Jun 2022,Tue 11:55:17 analyse_result.py[line:52 ] INFO {'model': 'BiLSTM_2', 'accuracy': 0.4296043293115685, 'recall': 0.21583656138231316, 'precision': 0.7223463125773513, 'f1': 0.14909582033799257, 'cm': [[9421, 0, 290, 0, 0], [7150, 0, 308, 0, 0], [2157, 0, 264, 0, 0], [1989, 0, 765, 0, 0], [188, 0, 12, 0, 0]]}
28 Jun 2022,Tue 11:55:27 analyse_result.py[line:52 ] INFO {'model': 'BiLSTM_2', 'accuracy': 0.5333569907735983, 'recall': 0.2774974531503295, 'precision': 0.7425458012474404, 'f1': 0.2520829823657649, 'cm': [[9583, 0, 128, 0, 0], [5214, 2178, 66, 0, 0], [2154, 4, 263, 0, 0], [1991, 0, 763, 0, 0], [189, 0, 11, 0, 0]]}
28 Jun 2022,Tue 11:55:36 analyse_result.py[line:52 ] INFO {'model': 'BiLSTM_2', 'accuracy': 0.6240241305890702, 'recall': 0.3318027116108807, 'precision': 0.7260396715865913, 'f1': 0.31025174146527074, 'cm': [[9584, 20, 107, 0, 0], [3210, 4230, 18, 0, 0], [1311, 856, 254, 0, 0], [1995, 2, 757, 0, 0], [126, 65, 9, 0, 0]]}
28 Jun 2022,Tue 11:55:46 analyse_result.py[line:52 ] INFO {'model': 'BiLSTM_2', 'accuracy': 0.6344925479063165, 'recall': 0.33864186163957344, 'precision': 0.7211958504947418, 'f1': 0.31554448614971453, 'cm': [[9493, 97, 121, 0, 0], [2881, 4558, 19, 0, 0], [1049, 1119, 253, 0, 0], [1991, 9, 754, 0, 0], [92, 99, 9, 0, 0]]}
28 Jun 2022,Tue 11:55:56 analyse_result.py[line:52 ] INFO {'model': 'BiLSTM_2', 'accuracy': 0.6370652945351313, 'recall': 0.3526807755618779, 'precision': 0.7323954248849709, 'f1': 0.33206729260668305, 'cm': [[9298, 260, 153, 0, 0], [2828, 4609, 21, 0, 0], [372, 1594, 455, 0, 0], [1950, 46, 758, 0, 0], [77, 114, 9, 0, 0]]}
28 Jun 2022,Tue 11:56:06 analyse_result.py[line:52 ] INFO {'model': 'BiLSTM_2', 'accuracy': 0.634847409510291, 'recall': 0.35497255399021227, 'precision': 0.7273601307723372, 'f1': 0.3336979512638031, 'cm': [[9028, 508, 175, 0, 0], [2593, 4794, 71, 0, 0], [198, 1733, 490, 0, 0], [1773, 227, 754, 0, 0], [61, 131, 8, 0, 0]]}
28 Jun 2022,Tue 11:56:15 analyse_result.py[line:52 ] INFO {'model': 'BiLSTM_2', 'accuracy': 0.6359563520227112, 'recall': 0.35671309703579845, 'precision': 0.7218402800144987, 'f1': 0.33411823223282855, 'cm': [[8856, 670, 185, 0, 0], [2239, 4991, 228, 0, 0], [188, 1743, 490, 0, 0], [1652, 352, 750, 0, 0], [59, 133, 8, 0, 0]]}
28 Jun 2022,Tue 11:56:25 analyse_result.py[line:52 ] INFO {'model': 'BiLSTM_2', 'accuracy': 0.6444730305180979, 'recall': 0.3619119047268465, 'precision': 0.7176401290186852, 'f1': 0.3371638735656978, 'cm': [[8839, 689, 183, 0, 0], [1534, 5201, 723, 0, 0], [223, 1709, 489, 0, 0], [1625, 382, 747, 0, 0], [58, 134, 8, 0, 0]]}
28 Jun 2022,Tue 11:56:34 analyse_result.py[line:52 ] INFO {'model': 'BiLSTM_2', 'accuracy': 0.6485539389638041, 'recall': 0.36276665655107804, 'precision': 0.718212809740924, 'f1': 0.3377273865510088, 'cm': [[8865, 695, 151, 0, 0], [1443, 5293, 722, 0, 0], [277, 1681, 463, 0, 0], [1617, 405, 732, 0, 0], [60, 134, 6, 0, 0]]}
28 Jun 2022,Tue 11:56:44 analyse_result.py[line:52 ] INFO {'model': 'BiLSTM_2', 'accuracy': 0.6489531582682754, 'recall': 0.3628404260618283, 'precision': 0.7185011291480066, 'f1': 0.33782392781279574, 'cm': [[8874, 699, 138, 0, 0], [1449, 5295, 714, 0, 0], [302, 1658, 461, 0, 0], [1613, 410, 731, 0, 0], [60, 134, 6, 0, 0]]}
28 Jun 2022,Tue 11:56:53 analyse_result.py[line:52 ] INFO {'model': 'BiLSTM_2', 'accuracy': 0.6533002129169624, 'recall': 0.3649538903431666, 'precision': 0.735992188139174, 'f1': 0.3421635414481133, 'cm': [[8876, 736, 99, 0, 0], [2038, 5400, 20, 0, 0], [296, 1673, 452, 0, 0], [1569, 454, 731, 0, 0], [59, 135, 6, 0, 0]]}
28 Jun 2022,Tue 11:57:03 analyse_result.py[line:52 ] INFO {'model': 'BiLSTM_2', 'accuracy': 0.6553850248403122, 'recall': 0.3652906763682201, 'precision': 0.7353975128668078, 'f1': 0.3418729223454446, 'cm': [[8872, 749, 90, 0, 0], [1973, 5468, 17, 0, 0], [295, 1691, 435, 0, 0], [1496, 527, 731, 0, 0], [58, 136, 6, 0, 0]]}
28 Jun 2022,Tue 11:57:12 analyse_result.py[line:52 ] INFO {'model': 'BiLSTM_2', 'accuracy': 0.6714425124201562, 'recall': 0.37481232693093725, 'precision': 0.7451600066395885, 'f1': 0.350437047277974, 'cm': [[8875, 759, 77, 0, 0], [1612, 5830, 16, 0, 0], [292, 1697, 432, 0, 0], [1580, 496, 678, 0, 0], [58, 136, 6, 0, 0]]}
